trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-84,-484.7664044739548,"{0: 66, 1: 9, 2: 27, 3: 1, 4: 6}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-75,-507.23990149964106,"{0: 53, 1: 15, 2: 17, 3: 3, 4: 7}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-92,-540.4013666231427,"{0: 67, 1: 17, 2: 18, 3: 1, 4: 9}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-12,-215.3139238987693,"{0: 15, 1: 5, 2: 9, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-52,-489.5363162840139,"{0: 43, 1: 8, 2: 17, 3: 1, 4: 8}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-100,-525.7483584336217,"{0: 74, 1: 15, 2: 28, 3: 2, 4: 6}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-2,-83.83206241525461,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-30,-242.46315589754298,"{0: 31, 1: 7, 2: 13, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,-21,-129.5615826242089,"{0: 30, 1: 4, 2: 10, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-20,-127.59695271511661,"{0: 26, 1: 5, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-100,-500.6453315912845,"{0: 72, 1: 14, 2: 26, 3: 3, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,9,-56.07780219446589,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",30,-100,-367.3902337919406,"{0: 82, 1: 17, 2: 28, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-24,-248.69364432221988,"{0: 22, 1: 8, 2: 10, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,7,-14.462565584980336,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,-100,-1069.4567621717295,"{0: 65, 1: 18, 2: 23, 3: 6, 4: 18}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,-20,-185.70311380010799,"{0: 30, 1: 8, 2: 9, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,16,3.6949353157387463,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,-100,-614.5248615438945,"{0: 66, 1: 15, 2: 30, 3: 1, 4: 8}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,1,-51.45154508010986,"{0: 12, 1: 6, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,-100,-624.5021570828299,"{0: 78, 1: 14, 2: 19, 3: 4, 4: 10}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-54,-412.83847833240884,"{0: 44, 1: 7, 2: 23, 3: 0, 4: 5}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,15,-3.460940037856406,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,-100,-621.4484007770986,"{0: 79, 1: 15, 2: 19, 3: 1, 4: 11}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,10,-128.45082622765403,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,-42,-315.8883416254993,"{0: 43, 1: 7, 2: 3, 3: 2, 4: 7}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-100,-321.1730293935217,"{0: 75, 1: 18, 2: 24, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-51,-186.95352107340332,"{0: 47, 1: 8, 2: 12, 3: 3, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-100,-421.9743510074407,"{0: 69, 1: 21, 2: 26, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-100,-623.7923594607665,"{0: 72, 1: 15, 2: 19, 3: 5, 4: 9}",0
