trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.0, 'e': 0.999}",25,0,-139.04742922134972,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 1.0, 'e': 0.998001}",20,0,-150.63052042896115,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 1.0, 'e': 0.997002999}",20,0,-123.43366094412204,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
4,False,"{'a': 1.0, 'e': 0.996005996001}",25,0,-188.59470025936852,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
5,False,"{'a': 1.0, 'e': 0.995009990004999}",30,0,-173.67833739215382,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
6,False,"{'a': 1.0, 'e': 0.994014980014994}",20,0,-68.75680986431297,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
7,False,"{'a': 1.0, 'e': 0.993020965034979}",20,0,-163.9823658853497,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 1.0, 'e': 0.992027944069944}",25,0,-109.08222064302463,"{0: 14, 1: 5, 2: 3, 3: 3, 4: 0}",0
9,False,"{'a': 1.0, 'e': 0.991035916125874}",25,0,-53.98737515170932,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 1.0, 'e': 0.9900448802097482}",25,0,-116.45342393952266,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 1.0, 'e': 0.9890548353295384}",20,0,-25.880592206732533,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 1.0, 'e': 0.9880657804942089}",30,0,-158.76221043028056,"{0: 18, 1: 7, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 1.0, 'e': 0.9870777147137147}",35,14,-111.1914638814655,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 1}",1
14,False,"{'a': 1.0, 'e': 0.986090636999001}",20,0,-64.62426807363774,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 1.0, 'e': 0.985104546362002}",20,0,-37.65130710394492,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 1.0, 'e': 0.9841194418156399}",20,0,-87.94967994413255,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 1.0, 'e': 0.9831353223738244}",25,0,-132.6513718417904,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
18,False,"{'a': 1.0, 'e': 0.9821521870514505}",25,0,-169.68431243590004,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
19,False,"{'a': 1.0, 'e': 0.981170034864399}",20,0,-133.75871788433733,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 1.0, 'e': 0.9801888648295347}",30,1,-109.0722225374313,"{0: 18, 1: 7, 2: 2, 3: 0, 4: 2}",1
21,False,"{'a': 1.0, 'e': 0.9792086759647052}",20,10,-38.828984645247495,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 1.0, 'e': 0.9782294672887404}",25,0,-178.14059958199383,"{0: 9, 1: 6, 2: 8, 3: 0, 4: 2}",0
23,False,"{'a': 1.0, 'e': 0.9772512378214517}",25,0,-230.87823777955694,"{0: 11, 1: 4, 2: 6, 3: 0, 4: 4}",0
24,False,"{'a': 1.0, 'e': 0.9762739865836302}",25,0,-122.9251683360344,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
25,False,"{'a': 1.0, 'e': 0.9752977125970466}",20,0,-80.14443976487912,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 1.0, 'e': 0.9743224148844496}",25,0,-129.31617055263274,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
27,False,"{'a': 1.0, 'e': 0.9733480924695651}",30,17,4.964411845518439,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 1.0, 'e': 0.9723747443770956}",35,0,-154.00103227892615,"{0: 23, 1: 5, 2: 4, 3: 0, 4: 3}",0
29,False,"{'a': 1.0, 'e': 0.9714023696327184}",30,0,-109.87759662131212,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
30,False,"{'a': 1.0, 'e': 0.9704309672630858}",25,0,-154.5637849901748,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
31,False,"{'a': 1.0, 'e': 0.9694605362958226}",20,0,-168.70355946429484,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
32,False,"{'a': 1.0, 'e': 0.9684910757595268}",20,0,-59.466707761452874,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 1.0, 'e': 0.9675225846837673}",20,0,-150.22914763518295,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
34,False,"{'a': 1.0, 'e': 0.9665550620990835}",30,0,-85.79626453672184,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
35,False,"{'a': 1.0, 'e': 0.9655885070369844}",20,0,-184.88642899524623,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
36,False,"{'a': 1.0, 'e': 0.9646229185299474}",20,0,-188.3619839643695,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
37,False,"{'a': 1.0, 'e': 0.9636582956114175}",20,0,-120.21280783136595,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
38,False,"{'a': 1.0, 'e': 0.9626946373158061}",20,11,-63.88743325158493,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
39,False,"{'a': 1.0, 'e': 0.9617319426784903}",20,0,-126.39771826537199,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 1.0, 'e': 0.9607702107358118}",20,0,-157.24804315994075,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
41,False,"{'a': 1.0, 'e': 0.959809440525076}",30,0,-201.2353218615497,"{0: 19, 1: 4, 2: 2, 3: 1, 4: 4}",0
42,False,"{'a': 1.0, 'e': 0.9588496310845509}",20,0,-58.717190431799146,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
43,False,"{'a': 1.0, 'e': 0.9578907814534663}",20,0,-206.24260237667727,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
44,False,"{'a': 1.0, 'e': 0.9569328906720129}",25,0,-55.241601976857716,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
45,False,"{'a': 1.0, 'e': 0.9559759577813408}",35,0,-140.40988477735922,"{0: 28, 1: 0, 2: 3, 3: 1, 4: 3}",0
46,False,"{'a': 1.0, 'e': 0.9550199818235595}",25,0,-163.06520439151893,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
47,False,"{'a': 1.0, 'e': 0.954064961841736}",20,0,-67.6084685473301,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",1
48,False,"{'a': 1.0, 'e': 0.9531108968798943}",20,0,-139.8216979671784,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
49,False,"{'a': 1.0, 'e': 0.9521577859830144}",25,0,-175.3773201645468,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
50,False,"{'a': 1.0, 'e': 0.9512056281970314}",20,0,-83.58990835382396,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
51,False,"{'a': 1.0, 'e': 0.9502544225688343}",20,0,-111.1407186717007,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
52,False,"{'a': 1.0, 'e': 0.9493041681462654}",25,0,-68.97509480980938,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
53,False,"{'a': 1.0, 'e': 0.9483548639781192}",20,0,-102.04452486299976,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
54,False,"{'a': 1.0, 'e': 0.947406509114141}",25,0,-93.06472295355061,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
55,False,"{'a': 1.0, 'e': 0.9464591026050269}",20,0,-55.40032615292655,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 1.0, 'e': 0.9455126435024219}",20,0,-111.83226726010759,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
57,False,"{'a': 1.0, 'e': 0.9445671308589194}",20,0,-141.29591255732646,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
58,False,"{'a': 1.0, 'e': 0.9436225637280605}",25,0,-94.89050914518582,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
59,False,"{'a': 1.0, 'e': 0.9426789411643325}",20,0,-158.23657859546614,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
60,False,"{'a': 1.0, 'e': 0.9417362622231682}",20,0,-102.5642528520844,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
61,False,"{'a': 1.0, 'e': 0.9407945259609449}",20,0,-89.52391210555857,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
62,False,"{'a': 1.0, 'e': 0.9398537314349841}",20,0,-84.12205367529661,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
63,False,"{'a': 1.0, 'e': 0.9389138777035491}",20,0,-41.48631344042457,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
64,False,"{'a': 1.0, 'e': 0.9379749638258454}",25,0,-101.22088513032308,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
65,False,"{'a': 1.0, 'e': 0.9370369888620197}",25,0,-98.94641615114713,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
66,False,"{'a': 1.0, 'e': 0.9360999518731576}",20,0,-148.97032180554183,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
67,False,"{'a': 1.0, 'e': 0.9351638519212845}",25,0,-132.20008968299268,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
68,False,"{'a': 1.0, 'e': 0.9342286880693632}",30,0,-101.1898641307541,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
69,False,"{'a': 1.0, 'e': 0.9332944593812939}",20,0,-83.56105131687762,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
70,False,"{'a': 1.0, 'e': 0.9323611649219126}",25,0,-89.73819297271869,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
71,False,"{'a': 1.0, 'e': 0.9314288037569907}",20,3,-30.80444436651763,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 1.0, 'e': 0.9304973749532336}",25,0,-146.84588969682432,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
73,False,"{'a': 1.0, 'e': 0.9295668775782804}",25,0,-191.15364067369376,"{0: 14, 1: 5, 2: 2, 3: 0, 4: 4}",0
74,False,"{'a': 1.0, 'e': 0.9286373107007021}",25,0,-206.34707636801937,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
75,False,"{'a': 1.0, 'e': 0.9277086733900014}",20,0,-59.88371843632789,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
76,False,"{'a': 1.0, 'e': 0.9267809647166114}",20,0,-66.40550993076121,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
77,False,"{'a': 1.0, 'e': 0.9258541837518948}",20,0,-106.67956050946589,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
78,False,"{'a': 1.0, 'e': 0.9249283295681429}",20,0,-85.57695292396765,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
79,False,"{'a': 1.0, 'e': 0.9240034012385747}",20,12,11.535967758299682,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 1.0, 'e': 0.9230793978373362}",25,0,-96.31674551554154,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
81,False,"{'a': 1.0, 'e': 0.9221563184394989}",25,0,-163.62772210596876,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
82,False,"{'a': 1.0, 'e': 0.9212341621210594}",20,0,-73.6053248277087,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
83,False,"{'a': 1.0, 'e': 0.9203129279589383}",20,0,-68.82003299817556,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
84,False,"{'a': 1.0, 'e': 0.9193926150309794}",35,0,-207.6519065057051,"{0: 21, 1: 2, 2: 8, 3: 1, 4: 3}",0
85,False,"{'a': 1.0, 'e': 0.9184732224159483}",35,0,-187.93389637746924,"{0: 22, 1: 5, 2: 4, 3: 1, 4: 3}",0
86,False,"{'a': 1.0, 'e': 0.9175547491935324}",20,0,-29.04834848458719,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 1.0, 'e': 0.9166371944443389}",20,0,-209.1599526089951,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
88,False,"{'a': 1.0, 'e': 0.9157205572498945}",30,0,-94.78220289576515,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
89,False,"{'a': 1.0, 'e': 0.9148048366926447}",25,0,-113.80869891337667,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
90,False,"{'a': 1.0, 'e': 0.913890031855952}",20,0,-87.93464007823735,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
91,False,"{'a': 1.0, 'e': 0.912976141824096}",20,0,-68.21637463385979,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
92,False,"{'a': 1.0, 'e': 0.912063165682272}",30,0,-118.72495539501253,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
93,False,"{'a': 1.0, 'e': 0.9111511025165897}",25,0,-61.578086094269054,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",0
94,False,"{'a': 1.0, 'e': 0.9102399514140731}",30,0,-112.11749156230782,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
95,False,"{'a': 1.0, 'e': 0.9093297114626591}",30,0,-135.3579252974931,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
96,False,"{'a': 1.0, 'e': 0.9084203817511963}",20,0,-195.58002278113995,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
97,False,"{'a': 1.0, 'e': 0.9075119613694451}",25,0,-138.53840837712724,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
98,False,"{'a': 1.0, 'e': 0.9066044494080757}",20,0,-92.43013380864498,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
99,False,"{'a': 1.0, 'e': 0.9056978449586677}",25,0,-201.30835180795154,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
100,False,"{'a': 1.0, 'e': 0.9047921471137089}",25,0,-128.517054076439,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
101,False,"{'a': 1.0, 'e': 0.9038873549665952}",25,3,-110.47734337920132,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 1}",1
102,False,"{'a': 1.0, 'e': 0.9029834676116286}",20,0,-130.71104436004094,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
103,False,"{'a': 1.0, 'e': 0.902080484144017}",20,0,-60.98369784536399,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
104,False,"{'a': 1.0, 'e': 0.901178403659873}",20,0,-108.64001620538086,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
105,False,"{'a': 1.0, 'e': 0.9002772252562131}",20,0,-85.45719362832143,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
106,False,"{'a': 1.0, 'e': 0.8993769480309569}",25,0,-185.04927791722685,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
107,False,"{'a': 1.0, 'e': 0.8984775710829259}",20,0,-23.19636723265325,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
108,False,"{'a': 1.0, 'e': 0.8975790935118431}",25,0,-217.9974725147029,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 5}",0
109,False,"{'a': 1.0, 'e': 0.8966815144183312}",20,0,-216.93153358214562,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 4}",0
110,False,"{'a': 1.0, 'e': 0.8957848329039129}",30,0,-70.93001444881209,"{0: 18, 1: 4, 2: 8, 3: 0, 4: 0}",0
111,False,"{'a': 1.0, 'e': 0.894889048071009}",25,0,-68.82168369352767,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
112,False,"{'a': 1.0, 'e': 0.8939941590229379}",20,0,-91.59662039175477,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
113,False,"{'a': 1.0, 'e': 0.893100164863915}",35,0,-61.00395445530029,"{0: 26, 1: 4, 2: 3, 3: 2, 4: 0}",0
114,False,"{'a': 1.0, 'e': 0.8922070646990511}",20,0,-193.59100317072185,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
